X:1-145000	X:103614..250967	 R6: includes 105 area(s) of change
X:340001-540000	X:445968..645967	 R6:  
X:495001-705000	X:600968..810967	 R6:  
X:8050001-8455000	X:8155968..8560967	 R6:  
X:15485001-15970000	X:15590968..16075967	 R6:  
X:19355001-22422827	X:19460968..23020991	 R6: includes 46 area(s) of change
3L:1-1015000	3L:1..1015000	 R6:  
3L:935001-24543557	3L:935001..24550457	 R6: includes 3 area(s) of change
2R:1-5855000	2R:4112496..9967495	 R6: includes 2 area(s) of change
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-26260000	3R:4174279..30434278	 R6:  
3R:26615001-27525000	3R:30789279..31699278	 R6:  
3R:27435001-27905000	3R:31609279..32079278	 R6:  
2L:20045001-20290000	2L:20045001..20290000	 R6:  
2L:21325001-21670000	2L:21325001..21670000	 R6: includes 1 area of change
2L:22100001-22320000	2L:22100001..22320000	 R6:  
2L:22270001-22905000	2L:22270001..23012268	 R6: includes 1 area of change
2L:22885001-23011544	2L:?..?	 R6: in area of change
X:1-140000	X:103614..245967	 R6: includes 105 area(s) of change
X:10825001-11550000	X:10930968..11655967	 R6:  
X:14075001-14465000	X:14180968..14570967	 R6:  
X:18865001-19365000	X:18970968..19470967	 R6:  
X:20860001-21140000	X:20988974..21268973	 R6:  
X:21500001-21770000	X:21628974..22368167	 R6: includes 16 area(s) of change
X:21675001-21905000	X:21804024..22503164	 R6: includes 13 area(s) of change
X:22320001-22422827	X:22918165..23020991	 R6:  
3L:1-2480000	3L:1..2480000	 R6:  
3L:20235001-20435000	3L:20241901..20441900	 R6:  
3L:23265001-24245000	3L:23271901..24251900	 R6:  
3L:24355001-24543557	3L:24361901..24550457	 R6: includes 2 area(s) of change
2R:1-470000	2R:4112496..4582495	 R6: includes 2 area(s) of change
2R:395001-820000	2R:4507496..4932495	 R6:  
2R:2060001-2330000	2R:6172496..6442495	 R6:  
2R:2245001-2460000	2R:6357496..6572495	 R6:  
2R:8810001-10240000	2R:12922496..14352495	 R6:  
2R:10685001-14035000	2R:14797496..18147495	 R6:  
